FIPS code,Income Year,PerCapita Income
01001,2023,32029.1
01003,2023,154560.83
01005,2023,10210.34
01007,2023,8711.12
01009,2023,26929.6
01011,2023,3568.91
01013,2023,9042.53
01015,2023,52087.17
01017,2023,13882.06
01019,2023,11575.16
01021,2023,21413.76
01023,2023,6047.06
01025,2023,10579.28
01027,2023,5514.91
01029,2023,6922.74
01031,2023,29809.76
01033,2023,27509.67
01035,2023,4804.72
01037,2023,4150.33
01039,2023,16350.28
01041,2023,6253.42
01043,2023,46755.23
01045,2023,22819.1
01047,2023,16497.83
01049,2023,30297.68
01051,2023,46984.53
01053,2023,15386.81
01055,2023,46522.64
01057,2023,6761.4
01059,2023,13443.24
01061,2023,11757.5
01063,2023,2922.52
01065,2023,6875.36
01067,2023,9612.03
01069,2023,59156.37
01071,2023,24232.52
01073,2023,472478.41
01075,2023,5671.24
01077,2023,45665.13
01079,2023,14879.17
01081,2023,88878.7
01083,2023,65574.81
01085,2023,5073.39
01087,2023,7563.21
01089,2023,272335.9
01091,2023,9382.29
01093,2023,13221.64
01095,2023,48969.16
01097,2023,207931.83
01099,2023,8385.17
01101,2023,121243.18
01103,2023,62103.23
01105,2023,3348.92
01107,2023,7903.54
01109,2023,16315.7
01111,2023,9593.72
01113,2023,24194.58
01115,2023,48246.77
01117,2023,166746.39
01119,2023,4827.75
01121,2023,35117.49
01123,2023,21014.62
01125,2023,105527.44
01127,2023,33325.05
01129,2023,7039.2
01131,2023,4125.38
01133,2023,10594.99
02010,2023,0.0
02013,2023,2264.22
02016,2023,3727.27
02020,2023,226523.44
02050,2023,8898.89
02060,2023,1432.7
02063,2023,5105.35
02066,2023,1571.21
02068,2023,2018.73
02070,2023,3023.35
02090,2023,66174.42
02100,2023,1887.72
02105,2023,1655.25
02110,2023,25948.85
02122,2023,37989.85
02130,2023,10502.16
02150,2023,9627.87
02158,2023,2944.99
02164,2023,997.0
02170,2023,69763.03
02180,2023,6206.6
02185,2023,9090.05
02188,2023,4228.34
02195,2023,2688.61
02198,2023,3135.91
02201,2023,0.0
02220,2023,7060.64
02230,2023,904.66
02231,2023,0.0
02232,2023,0.0
02240,2023,4452.1
02261,2023,0.0
02275,2023,1361.13
02280,2023,0.0
02282,2023,447.23
02290,2023,3568.41
02901,2023,0.0
02903,2023,0.0
02904,2023,0.0
02905,2023,0.0
02907,2023,0.0
02908,2023,0.0
02910,2023,0.0
02912,2023,0.0
02916,2023,0.0
02919,2023,0.0
02920,2023,0.0
02921,2023,0.0
02922,2023,0.0
02923,2023,0.0
02924,2023,0.0
02925,2023,0.0
02926,2023,0.0
02928,2023,0.0
02929,2023,0.0
04001,2023,31142.72
04003,2023,66437.55
04005,2023,89576.17
04007,2023,28612.77
04009,2023,16911.62
04011,2023,5374.0
04012,2023,9815.23
04013,2023,3123504.17
04015,2023,104631.98
04017,2023,48765.39
04019,2023,619101.57
04021,2023,241293.21
04023,2023,24291.77
04025,2023,139268.21
04027,2023,99022.39
05001,2023,10426.37
05003,2023,8525.71
05005,2023,20073.77
