Postal Code,FIPS code,County,City,State,Legislative District,Latitude,Longitude,2020 Census Tract
99403,53003,Asotin,Clarkston,WA,9,46.41402,-117.04556,53003960300
99402,53003,Asotin,Asotin,WA,9,46.34056,-117.04784,53003960100
99371,53001,Adams,Washtucna,WA,9,46.75578,-118.311,53001950200
99362,53071,Walla Walla,Walla Walla,WA,16,46.07068,-118.34261,53071920901
99361,53071,Walla Walla,Waitsburg,WA,16,46.27013,-118.15448,53071920100
99360,53071,Walla Walla,Touchet,WA,16,46.04238,-118.66923,53071920100
99357,53025,Grant,Royal City,WA,13,46.90248,-119.63136,53025011405
99354,53005,Benton,Richland,WA,8,46.31484,-119.26844,53005010201
99353,53005,Benton,West Richland,WA,8,46.29696,-119.33836,53005010705
99352,53005,Benton,Richland,WA,8,46.27391,-119.27372,53005010500
99350,53005,Benton,Prosser,WA,16,46.20663,-119.76904,53005011802
99349,53025,Grant,Mattawa,WA,13,46.73779,-119.90008,53025011406
99348,53071,Walla Walla,Prescott,WA,16,46.29961,-118.31243,53071920000
99347,53023,Garfield,Pomeroy,WA,9,46.47398,-117.58937,53023970300
99346,53005,Benton,Plymouth,WA,16,45.93559,-119.35107,53005011600
99345,53005,Benton,Paterson,WA,16,45.93967,-119.60311,53005011600
99344,53025,Grant,Othello,WA,13,46.82616,-119.1742,53025011401
99343,53021,Franklin,Mesa,WA,9,46.57833,-119.00503,53021020802
99341,53001,Adams,Lind,WA,9,46.97135,-118.61566,53001950200
99338,53005,Benton,Kennewick,WA,16,46.20664,-119.3118,53005010814
99337,53005,Benton,Kennewick,WA,8,46.18764,-119.14482,53005011506
99336,53005,Benton,Kennewick,WA,8,46.20837,-119.11698,53005010901
99330,53021,Franklin,Eltopia,WA,9,46.45698,-119.01647,53021020700
99329,53071,Walla Walla,Dixie,WA,16,46.14048,-118.15568,53071920100
99328,53013,Columbia,Dayton,WA,16,46.32189,-117.97577,53013960200
99326,53021,Franklin,Connell,WA,9,46.66146,-118.86063,53021020802
99324,53071,Walla Walla,College Place,WA,16,46.03456,-118.38864,53071920302
99323,53071,Walla Walla,Burbank,WA,16,46.1992,-119.01561,53071920000
99322,53039,Klickitat,Bickleton,WA,14,45.99783,-120.30007,53039950101
99321,53025,Grant,Beverly,WA,13,46.83397,-119.93442,53025011404
99320,53005,Benton,Benton City,WA,16,46.26543,-119.48756,53005010701
99301,53021,Franklin,Pasco,WA,16,46.23542,-119.09467,53021020300
99251,53063,Spokane,Spokane,WA,7,47.75122,-117.41643,53063010902
99224,53063,Spokane,Spokane,WA,6,47.59431,-117.46996,53063010403
