vehicle_type_id,model_year,make,model,ev_type
vm0001,1999,FORD,RANGER,Battery Electric Vehicle (BEV)
vm0002,2000,FORD,RANGER,Battery Electric Vehicle (BEV)
vm0015,2012,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0023,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0024,2013,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0025,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0039,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0040,2014,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0041,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0057,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0058,2015,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0059,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0081,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0082,2016,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0083,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0111,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0112,2017,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0113,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0144,2018,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0145,2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0179,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0217,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0261,2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0262,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0310,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0311,2022,FORD,F-150,Battery Electric Vehicle (BEV)
vm0312,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0313,2022,FORD,TRANSIT,Battery Electric Vehicle (BEV)
vm0374,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0375,2023,FORD,F-150,Battery Electric Vehicle (BEV)
vm0376,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0377,2023,FORD,TRANSIT,Battery Electric Vehicle (BEV)
vm0459,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0460,2024,FORD,F-150,Battery Electric Vehicle (BEV)
vm0461,2024,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV)
vm0462,2024,FORD,TRANSIT,Battery Electric Vehicle (BEV)
