vehicle_type_id,electric_range,model_year,make,model
vm0027,75.0,2013,NISSAN,LEAF
vm0199,270.0,2019,TESLA,MODEL S
vm0129,25.0,2017,TOYOTA,PRIUS PRIME
vm0081,19.0,2016,FORD,C-MAX
vm0237,266.0,2020,TESLA,MODEL 3
vm0162,249.0,2018,TESLA,MODEL S
vm0388,21.0,2023,JEEP,WRANGLER
vm0257,17.0,2021,BMW,X3
vm0017,73.0,2012,NISSAN,LEAF
vm0237,322.0,2020,TESLA,MODEL 3
vm0027,75.0,2013,NISSAN,LEAF
vm0257,17.0,2021,BMW,X3
vm0223,239.0,2020,KIA,NIRO
vm0390,33.0,2023,KIA,NIRO
vm0163,238.0,2018,TESLA,MODEL X
vm0202,125.0,2019,VOLKSWAGEN,E-GOLF
vm0059,19.0,2015,FORD,FUSION
vm0162,249.0,2018,TESLA,MODEL S
vm0161,215.0,2018,TESLA,MODEL 3
vm0309,32.0,2022,CHRYSLER,PACIFICA
vm0091,84.0,2016,NISSAN,LEAF
vm0102,81.0,2017,BMW,I3
vm0450,39.0,2024,BMW,X5
vm0146,47.0,2018,HONDA,CLARITY
vm0037,38.0,2014,CHEVROLET,VOLT
vm0240,291.0,2020,TESLA,MODEL Y
vm0132,16.0,2018,AUDI,A3
vm0320,25.0,2022,JEEP,GRAND CHEROKEE
vm0027,75.0,2013,NISSAN,LEAF
vm0237,266.0,2020,TESLA,MODEL 3
vm0240,291.0,2020,TESLA,MODEL Y
vm0136,114.0,2018,BMW,I3
vm0091,84.0,2016,NISSAN,LEAF
vm0320,25.0,2022,JEEP,GRAND CHEROKEE
vm0079,53.0,2016,CHEVROLET,VOLT
vm0202,125.0,2019,VOLKSWAGEN,E-GOLF
vm0051,81.0,2015,BMW,I3
vm0161,215.0,2018,TESLA,MODEL 3
vm0123,107.0,2017,NISSAN,LEAF
vm0161,215.0,2018,TESLA,MODEL 3
vm0102,81.0,2017,BMW,I3
vm0161,215.0,2018,TESLA,MODEL 3
vm0123,107.0,2017,NISSAN,LEAF
vm0140,238.0,2018,CHEVROLET,BOLT EV
vm0198,220.0,2019,TESLA,MODEL 3
vm0240,291.0,2020,TESLA,MODEL Y
vm0175,238.0,2019,CHEVROLET,BOLT EV
vm0100,14.0,2017,BMW,330E
vm0198,220.0,2019,TESLA,MODEL 3
vm0161,215.0,2018,TESLA,MODEL 3
vm0013,35.0,2012,CHEVROLET,VOLT
vm0056,87.0,2015,FIAT,500
vm0128,200.0,2017,TESLA,MODEL X
vm0129,25.0,2017,TOYOTA,PRIUS PRIME
vm0076,14.0,2016,BMW,X5
vm0027,75.0,2013,NISSAN,LEAF
vm0063,84.0,2015,NISSAN,LEAF
vm0239,293.0,2020,TESLA,MODEL X
vm0085,93.0,2016,KIA,SOUL
vm0475,21.0,2024,JEEP,WRANGLER
vm0123,107.0,2017,NISSAN,LEAF
vm0521,42.0,2024,TOYOTA,RAV4 PRIME
vm0057,19.0,2015,FORD,C-MAX
vm0027,75.0,2013,NISSAN,LEAF
vm0050,103.0,2014,TOYOTA,RAV4
vm0080,84.0,2016,FIAT,500
vm0198,220.0,2019,TESLA,MODEL 3
vm0091,84.0,2016,NISSAN,LEAF
vm0157,151.0,2018,NISSAN,LEAF
vm0186,26.0,2019,KIA,NIRO
vm0241,25.0,2020,TOYOTA,PRIUS PRIME
vm0017,73.0,2012,NISSAN,LEAF
vm0240,291.0,2020,TESLA,MODEL Y
vm0392,32.0,2023,KIA,SORENTO
vm0108,53.0,2017,CHEVROLET,VOLT
vm0372,32.0,2023,CHRYSLER,PACIFICA
vm0198,220.0,2019,TESLA,MODEL 3
vm0533,40.0,2025,BMW,X5
vm0102,81.0,2017,BMW,I3
vm0198,220.0,2019,TESLA,MODEL 3
vm0198,220.0,2019,TESLA,MODEL 3
vm0161,215.0,2018,TESLA,MODEL 3
vm0224,26.0,2020,KIA,NIRO
vm0198,220.0,2019,TESLA,MODEL 3
vm0027,75.0,2013,NISSAN,LEAF
vm0491,26.0,2024,MAZDA,CX-90
vm0045,84.0,2014,NISSAN,LEAF
vm0349,42.0,2022,TOYOTA,RAV4 PRIME
vm0413,14.0,2023,PORSCHE,CAYENNE
vm0298,23.0,2022,AUDI,Q5
vm0198,220.0,2019,TESLA,MODEL 3
vm0083,19.0,2016,FORD,FUSION
vm0475,21.0,2024,JEEP,WRANGLER
vm0032,81.0,2014,BMW,I3
vm0161,215.0,2018,TESLA,MODEL 3
vm0143,84.0,2018,FIAT,500
vm0388,21.0,2023,JEEP,WRANGLER
vm0161,215.0,2018,TESLA,MODEL 3
vm0240,291.0,2020,TESLA,MODEL Y
vm0013,35.0,2012,CHEVROLET,VOLT
vm0198,220.0,2019,TESLA,MODEL 3
vm0279,16.0,2021,PORSCHE,CAYENNE
vm0063,84.0,2015,NISSAN,LEAF
vm0107,238.0,2017,CHEVROLET,BOLT EV
vm0237,322.0,2020,TESLA,MODEL 3
vm0157,151.0,2018,NISSAN,LEAF
vm0107,238.0,2017,CHEVROLET,BOLT EV
vm0076,14.0,2016,BMW,X5
vm0198,220.0,2019,TESLA,MODEL 3
vm0198,220.0,2019,TESLA,MODEL 3
vm0142,33.0,2018,CHRYSLER,PACIFICA
vm0096,200.0,2016,TESLA,MODEL X
vm0063,84.0,2015,NISSAN,LEAF
vm0439,23.0,2024,AUDI,Q5 E
vm0393,34.0,2023,KIA,SPORTAGE
vm0111,20.0,2017,FORD,C-MAX
vm0475,21.0,2024,JEEP,WRANGLER
vm0048,208.0,2014,TESLA,MODEL S
vm0128,200.0,2017,TESLA,MODEL X
vm0260,32.0,2021,CHRYSLER,PACIFICA
vm0027,75.0,2013,NISSAN,LEAF
vm0198,220.0,2019,TESLA,MODEL 3
vm0393,34.0,2023,KIA,SPORTAGE
vm0068,208.0,2015,TESLA,MODEL S
vm0146,47.0,2018,HONDA,CLARITY
vm0216,32.0,2020,CHRYSLER,PACIFICA
vm0387,25.0,2023,JEEP,GRAND CHEROKEE
vm0076,14.0,2016,BMW,X5
vm0237,322.0,2020,TESLA,MODEL 3
vm0017,73.0,2012,NISSAN,LEAF
vm0325,32.0,2022,KIA,SORENTO
vm0198,220.0,2019,TESLA,MODEL 3
vm0306,30.0,2022,BMW,X5
vm0491,26.0,2024,MAZDA,CX-90
vm0095,210.0,2016,TESLA,MODEL S
vm0198,220.0,2019,TESLA,MODEL 3
vm0169,204.0,2019,AUDI,E-TRON
vm0081,19.0,2016,FORD,C-MAX
vm0172,126.0,2019,BMW,I3
vm0027,75.0,2013,NISSAN,LEAF
vm0017,73.0,2012,NISSAN,LEAF
vm0146,47.0,2018,HONDA,CLARITY
vm0199,270.0,2019,TESLA,MODEL S
vm0278,233.0,2021,POLESTAR,PS2
vm0387,25.0,2023,JEEP,GRAND CHEROKEE
vm0045,84.0,2014,NISSAN,LEAF
vm0528,35.0,2024,VOLVO,XC60
vm0129,25.0,2017,TOYOTA,PRIUS PRIME
vm0063,84.0,2015,NISSAN,LEAF
vm0278,233.0,2021,POLESTAR,PS2
vm0237,266.0,2020,TESLA,MODEL 3
vm0085,93.0,2016,KIA,SOUL
vm0212,153.0,2020,BMW,I3
vm0310,38.0,2022,FORD,ESCAPE
vm0021,38.0,2013,CHEVROLET,VOLT
vm0320,25.0,2022,JEEP,GRAND CHEROKEE
vm0193,150.0,2019,NISSAN,LEAF
vm0200,289.0,2019,TESLA,MODEL X
vm0027,75.0,2013,NISSAN,LEAF
vm0481,34.0,2024,KIA,SPORTAGE
vm0161,215.0,2018,TESLA,MODEL 3
vm0045,84.0,2014,NISSAN,LEAF
vm0387,25.0,2023,JEEP,GRAND CHEROKEE
vm0239,293.0,2020,TESLA,MODEL X
vm0240,291.0,2020,TESLA,MODEL Y
vm0240,291.0,2020,TESLA,MODEL Y
vm0248,222.0,2021,AUDI,E-TRON
vm0136,114.0,2018,BMW,I3
vm0237,322.0,2020,TESLA,MODEL 3
vm0261,38.0,2021,FORD,ESCAPE
vm0240,291.0,2020,TESLA,MODEL Y
vm0161,215.0,2018,TESLA,MODEL 3
vm0250,18.0,2021,AUDI,Q5 E
vm0163,238.0,2018,TESLA,MODEL X
vm0456,32.0,2024,CHRYSLER,PACIFICA
vm0095,210.0,2016,TESLA,MODEL S
vm0233,149.0,2020,NISSAN,LEAF
vm0162,249.0,2018,TESLA,MODEL S
vm0356,18.0,2022,VOLVO,XC90
vm0123,107.0,2017,NISSAN,LEAF
vm0108,53.0,2017,CHEVROLET,VOLT
vm0306,30.0,2022,BMW,X5
vm0127,210.0,2017,TESLA,MODEL S
vm0387,25.0,2023,JEEP,GRAND CHEROKEE
vm0161,215.0,2018,TESLA,MODEL 3
vm0221,258.0,2020,HYUNDAI,KONA
vm0388,21.0,2023,JEEP,WRANGLER
vm0099,16.0,2017,AUDI,A3
vm0250,18.0,2021,AUDI,Q5 E
vm0289,22.0,2021,VOLVO,S60
vm0115,27.0,2017,HYUNDAI,SONATA
vm0293,18.0,2021,VOLVO,XC90
vm0240,291.0,2020,TESLA,MODEL Y
