postal_code,fips_code,county,city,state,legislative_district,latitude,longitude,census_tract_2020
99403,53003,Asotin,Clarkston,WA,9,46.414020,-117.045560,53003960300
99402,53003,Asotin,Asotin,WA,9,46.340560,-117.047840,53003960100
99371,53001,Adams,Washtucna,WA,9,46.755780,-118.311000,53001950200
99362,53071,Walla Walla,Walla Walla,WA,16,46.070680,-118.342610,53071920901
99361,53071,Walla Walla,Waitsburg,WA,16,46.270130,-118.154480,53071920100
99360,53071,Walla Walla,Touchet,WA,16,46.042380,-118.669230,53071920100
99357,53025,Grant,Royal City,WA,13,46.902480,-119.631360,53025011405
99354,53005,Benton,Richland,WA,8,46.314840,-119.268440,53005010201
99353,53005,Benton,West Richland,WA,8,46.296960,-119.338360,53005010705
99352,53005,Benton,Richland,WA,8,46.273910,-119.273720,53005010500
99350,53005,Benton,Prosser,WA,16,46.206630,-119.769040,53005011802
99349,53025,Grant,Mattawa,WA,13,46.737790,-119.900080,53025011406
99348,53071,Walla Walla,Prescott,WA,16,46.299610,-118.312430,53071920000
99347,53023,Garfield,Pomeroy,WA,9,46.473980,-117.589370,53023970300
99346,53005,Benton,Plymouth,WA,16,45.935590,-119.351070,53005011600
99345,53005,Benton,Paterson,WA,16,45.939670,-119.603110,53005011600
99344,53025,Grant,Othello,WA,13,46.826160,-119.174200,53025011401
99343,53021,Franklin,Mesa,WA,9,46.578330,-119.005030,53021020802
99341,53001,Adams,Lind,WA,9,46.971350,-118.615660,53001950200
99338,53005,Benton,Kennewick,WA,16,46.206640,-119.311800,53005010814
99337,53005,Benton,Kennewick,WA,8,46.187640,-119.144820,53005011506
99336,53005,Benton,Kennewick,WA,8,46.208370,-119.116980,53005010901
99330,53021,Franklin,Eltopia,WA,9,46.456980,-119.016470,53021020700
99329,53071,Walla Walla,Dixie,WA,16,46.140480,-118.155680,53071920100
99328,53013,Columbia,Dayton,WA,16,46.321890,-117.975770,53013960200
99326,53021,Franklin,Connell,WA,9,46.661460,-118.860630,53021020802
99324,53071,Walla Walla,College Place,WA,16,46.034560,-118.388640,53071920302
99323,53071,Walla Walla,Burbank,WA,16,46.199200,-119.015610,53071920000
99322,53039,Klickitat,Bickleton,WA,14,45.997830,-120.300070,53039950101
99321,53025,Grant,Beverly,WA,13,46.833970,-119.934420,53025011404
99320,53005,Benton,Benton City,WA,16,46.265430,-119.487560,53005010701
99301,53021,Franklin,Pasco,WA,16,46.235420,-119.094670,53021020300
99251,53063,Spokane,Spokane,WA,7,47.751220,-117.416430,53063010902
99224,53063,Spokane,Spokane,WA,6,47.594310,-117.469960,53063010403
99223,53063,Spokane,Spokane,WA,6,47.633960,-117.360430,53063004500
99218,53063,Spokane,Spokane,WA,6,47.745800,-117.411800,53063010800
99217,53063,Spokane,Spokane,WA,4,47.684650,-117.357570,53063011302
99216,53063,Spokane,Spokane Valley,WA,4,47.658780,-117.212640,53063011800
99212,53063,Spokane,Spokane Valley,WA,4,47.680430,-117.288050,53063013401
99208,53063,Spokane,Spokane,WA,7,47.733300,-117.450050,53063010508
99207,53063,Spokane,Spokane,WA,3,47.675730,-117.397300,53063001500
99206,53063,Spokane,Spokane,WA,4,47.653400,-117.245490,53063012401
99205,53063,Spokane,Spokane,WA,3,47.699630,-117.456740,53063001900
99204,53063,Spokane,Spokane,WA,3,47.647790,-117.425710,53063004100
99203,53063,Spokane,Spokane,WA,6,47.633740,-117.393220,53063004300
99202,53063,Spokane,Spokane,WA,3,47.655480,-117.379700,53063003100
99201,53063,Spokane,Spokane,WA,3,47.657260,-117.411620,53063002300
99185,53043,Lincoln,Wilbur,WA,13,47.759420,-118.709120,53043960300
99181,53065,Stevens,Valley,WA,7,48.176230,-117.725550,53065951100
99180,53051,Pend Oreille,Usk,WA,7,48.313750,-117.280540,53051970200
99179,53075,Whitman,Uniontown,WA,9,46.539060,-117.087420,53075001000
99173,53065,Stevens,Springdale,WA,7,48.057380,-117.741370,53065951100
99171,53075,Whitman,St John,WA,9,47.091850,-117.582100,53075000900
99170,53075,Whitman,Rosalia,WA,9,47.234450,-117.370460,53075000900
99169,53001,Adams,Ritzville,WA,9,47.127400,-118.379770,53001950100
99167,53065,Stevens,Rice,WA,7,48.429340,-118.161650,53065950102
99166,53019,Ferry,Republic,WA,7,48.644260,-118.737480,53019970200
99163,53075,Whitman,Pullman,WA,9,46.730150,-117.181470,53075000300
99161,53075,Whitman,Palouse,WA,9,46.910080,-117.076800,53075000700
99160,53019,Ferry,Orient,WA,7,48.868300,-118.208740,53019970100
99159,53043,Lincoln,Odessa,WA,13,47.333230,-118.689990,53043960400
99158,53075,Whitman,Oakesdale,WA,9,47.129050,-117.242610,53075000700
99157,53065,Stevens,Northport,WA,7,48.917390,-117.778120,53065950101
99156,53051,Pend Oreille,Newport,WA,7,48.182850,-117.043980,53051970300
99155,53047,Okanogan,Nespelem,WA,12,48.166360,-118.976650,53047940100
99152,53051,Pend Oreille,Metaline,WA,7,48.856020,-117.388840,53051970100
99149,53075,Whitman,Malden,WA,9,47.228750,-117.475110,53075000900
99148,53065,Stevens,Loon Lake,WA,7,48.062880,-117.637310,53065951301
99147,53043,Lincoln,Lincoln,WA,13,47.829370,-118.418990,53043960300
99143,53075,Whitman,Lacrosse,WA,9,46.816120,-117.881370,53075001000
99141,53065,Stevens,Kettle Falls,WA,7,48.610530,-118.062110,53065950102
