vehicle_type_id,model_year,make,model,ev_type
vm0001,1999,FORD,RANGER,Battery Electric Vehicle (BEV)
vm0002,2000,FORD,RANGER,Battery Electric Vehicle (BEV)
vm0003,2002,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0004,2003,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0005,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0006,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0007,2010,WHEEGO ELECTRIC CARS,WHEEGO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0008,2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,Battery Electric Vehicle (BEV)
vm0009,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0010,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0011,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0012,2011,TH!NK,CITY,Battery Electric Vehicle (BEV)
vm0013,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0014,2012,FISKER,KARMA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0015,2012,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0016,2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV)
vm0017,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0018,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0019,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0020,2012,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0021,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0022,2013,FIAT,500,Battery Electric Vehicle (BEV)
vm0023,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0024,2013,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0025,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0026,2013,HONDA,CR-V,Battery Electric Vehicle (BEV)
vm0027,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0028,2013,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV)
vm0029,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0030,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0031,2013,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0032,2014,BMW,I3,Battery Electric Vehicle (BEV)
vm0033,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0034,2014,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV)
