FIPS code,Income Year,PerCapita Income
01001,2022,29749.89
01003,2022,142052.69
01005,2022,10134.59
01007,2022,8397.82
01009,2022,26224.26
01011,2022,3390.75
01013,2022,8867.59
01015,2022,49400.57
01017,2022,13476.61
01019,2022,11297.95
01021,2022,19922.86
01023,2022,5858.09
01025,2022,10110.51
01027,2022,5595.98
01029,2022,6802.33
01031,2022,28394.08
01033,2022,25980.91
01035,2022,4645.65
01037,2022,3992.84
01039,2022,15890.79
01041,2022,6343.61
01043,2022,45111.92
01045,2022,22209.06
01047,2022,15571.03
01049,2022,30341.83
01051,2022,43608.92
01053,2022,14805.06
01055,2022,44450.35
01057,2022,6877.43
01059,2022,13598.84
01061,2022,11368.68
01063,2022,2850.13
01065,2022,6486.78
01067,2022,9365.66
01069,2022,56159.48
01071,2022,23351.47
01073,2022,448475.95
01075,2022,5451.41
01077,2022,43104.78
01079,2022,14566.21
01081,2022,83373.16
01083,2022,59829.42
01085,2022,4955.74
01087,2022,7213.7
01089,2022,252387.63
01091,2022,8963.44
01093,2022,12673.21
01095,2022,46872.26
01097,2022,199195.98
01099,2022,8228.84
01101,2022,114908.97
01103,2022,59070.26
01105,2022,3173.37
01107,2022,7794.0
01109,2022,15843.76
01111,2022,9535.76
01113,2022,22916.98
01115,2022,45265.02
01117,2022,154936.18
01119,2022,4610.15
01121,2022,33474.33
01123,2022,20066.31
01125,2022,99850.64
01127,2022,31751.2
01129,2022,6868.01
01131,2022,3934.37
01133,2022,10377.95
02010,2022,0.0
02013,2022,2177.97
02016,2022,3501.85
02020,2022,218713.79
02050,2022,9011.03
02060,2022,1377.29
02063,2022,4832.81
02066,2022,1495.52
02068,2022,1895.16
02070,2022,2865.3
02090,2022,64641.26
02100,2022,1758.01
02105,2022,1554.05
02110,2022,24993.02
02122,2022,36627.19
02130,2022,10086.68
02150,2022,9077.4
02158,2022,3090.37
02164,2022,945.48
02170,2022,66274.46
02180,2022,6254.05
02185,2022,8332.49
02188,2022,4152.39
02195,2022,2519.77
02198,2022,3036.87
02201,2022,0.0
02220,2022,6677.4
02230,2022,820.95
02231,2022,0.0
02232,2022,0.0
02240,2022,4257.81
02261,2022,0.0
02275,2022,1268.26
02280,2022,0.0
02282,2022,432.96
02290,2022,3395.92
02901,2022,0.0
02903,2022,0.0
02904,2022,0.0
02905,2022,0.0
02907,2022,0.0
02908,2022,0.0
02910,2022,0.0
02912,2022,0.0
02916,2022,0.0
02919,2022,0.0
02920,2022,0.0
02921,2022,0.0
02922,2022,0.0
02923,2022,0.0
02924,2022,0.0
02925,2022,0.0
02926,2022,0.0
02928,2022,0.0
02929,2022,0.0
04001,2022,30276.71
04003,2022,63408.6
04005,2022,84221.16
04007,2022,27097.78
04009,2022,16147.28
04011,2022,5041.46
04012,2022,9375.08
04013,2022,2922816.68
04015,2022,96441.56
04017,2022,46702.68
04019,2022,579241.91
04021,2022,217991.22
04023,2022,22729.81
04025,2022,127845.1
04027,2022,94051.59
05001,2022,9832.91
05003,2022,8404.79
05005,2022,19087.7
05007,2022,353809.68
05009,2022,16678.91
05011,2022,4931.28
05013,2022,2188.69
05015,2022,12249.4
05017,2022,4703.88
05019,2022,9074.69
05021,2022,6419.47
05023,2022,12330.87
05025,2022,3971.11
05027,2022,10233.45
05029,2022,10432.14
05031,2022,53822.09
05033,2022,25892.4
05035,2022,21740.91
05037,2022,7184.88
05039,2022,2946.63
05041,2022,5355.39
05043,2022,8036.7
05045,2022,62070.74
05047,2022,7519.39
05049,2022,4354.58
05051,2022,49631.72
05053,2022,8682.94
05055,2022,19569.18
05057,2022,8588.56
05059,2022,12784.39
05061,2022,6166.79
05063,2022,17526.3
05065,2022,5057.91
05067,2022,7822.39
05069,2022,26977.69
05071,2022,9420.77
05073,2022,3124.6
05075,2022,7026.63
05077,2022,3174.54
05079,2022,4413.28
05081,2022,5003.88
05083,2022,8868.77
05085,2022,37139.98
05087,2022,8040.03
05089,2022,6521.05
05091,2022,17345.58
05093,2022,17556.28
05095,2022,2808.86
05097,2022,3353.91
05099,2022,3366.08
05101,2022,2747.5
05103,2022,10746.97
05105,2022,4702.32
05107,2022,6996.51
05109,2022,4376.24
05111,2022,10064.9
05113,2022,7921.2
05115,2022,27283.73
05117,2022,3650.79
05119,2022,248592.6
05121,2022,7790.2
05123,2022,8204.55
05125,2022,66184.86
05127,2022,4030.4
05129,2022,2679.35
05131,2022,62732.25
05133,2022,7202.72
05135,2022,7894.1
05137,2022,4753.51
05139,2022,20327.85
05141,2022,6380.5
05143,2022,129938.9
05145,2022,34573.5
05147,2022,3126.67
05149,2022,9200.59
06001,2022,1641874.33
06003,2022,804.47
06005,2022,19830.23
06007,2022,111899.69
06009,2022,25876.89
06011,2022,12175.26
06013,2022,1123011.77
06015,2022,11880.45
06017,2022,153394.13
06019,2022,512150.12
06021,2022,14495.42
06023,2022,72248.68
06025,2022,81636.3
06027,2022,11118.4
06029,2022,408822.42
06031,2022,65118.33
06033,2022,30952.24
06035,2022,12334.23
06037,2022,7229357.67
06039,2022,72438.63
06041,2022,432422.99
06043,2022,10392.59
06045,2022,49597.78
06047,2022,133258.02
06049,2022,4989.36
06051,2022,8571.1
06053,2022,282807.05
06055,2022,119883.57
06057,2022,72822.15
06059,2022,2649731.16
06061,2022,334678.21
06063,2022,11627.88
06065,2022,1261747.31
06067,2022,981758.17
06069,2022,42124.5
06071,2022,1068537.56
06073,2022,2440704.77
06075,2022,1253587.65
06077,2022,447684.56
06079,2022,192816.77
06081,2022,1187158.07
06083,2022,343673.16
06085,2022,2680526.14
06087,2022,220052.09
06089,2022,97884.79
06091,2022,1625.53
06093,2022,22618.6
06095,2022,273903.26
06097,2022,379667.3
06099,2022,281631.93
06101,2022,51015.31
06103,2022,30224.1
06105,2022,5668.25
06107,2022,224579.33
06109,2022,28693.45
06111,2022,616273.08
06113,2022,141078.62
06115,2022,40825.05
08001,2022,298883.33
08003,2022,7316.37
08005,2022,511246.27
08007,2022,7758.61
08009,2022,1996.13
08011,2022,1872.93
08013,2022,312459.19
08014,2022,65386.47
08015,2022,12702.18
08017,2022,1387.22
08019,2022,6984.97
08021,2022,3442.6
08023,2022,1456.73
08025,2022,1355.19
08027,2022,2792.73
08029,2022,15152.77
08031,2022,818821.51
08033,2022,984.26
08035,2022,365985.2
08037,2022,64780.03
08039,2022,20475.17
08041,2022,459093.16
08043,2022,20987.79
08045,2022,41490.89
08047,2022,3922.08
08049,2022,10971.02
08051,2022,11393.62
08053,2022,492.45
08055,2022,3325.09
08057,2022,872.59
08059,2022,470065.47
08061,2022,1005.59
08063,2022,3642.84
08065,2022,3766.04
08067,2022,40474.04
08069,2022,249174.87
08071,2022,6574.27
08073,2022,2226.43
08075,2022,10997.98
08077,2022,87540.84
08079,2022,663.26
08081,2022,6508.58
08083,2022,13531.25
08085,2022,23375.71
08087,2022,15558.84
08089,2022,7828.59
08091,2022,4273.2
08093,2022,10554.09
08095,2022,2544.81
08097,2022,39248.5
08099,2022,5550.17
08101,2022,79704.62
08103,2022,3942.47
08105,2022,6415.31
08107,2022,30582.65
08109,2022,2725.73
08111,2022,413.4
08113,2022,11559.93
08115,2022,1299.87
08117,2022,29868.63
08119,2022,15649.51
08121,2022,2611.0
08123,2022,207603.75
08125,2022,5273.66
09001,2022,1252559.25
09003,2022,645051.19
09005,2022,143002.74
09007,2022,126499.83
09009,2022,561761.83
09011,2022,177859.73
09013,2022,97048.53
09015,2022,63393.02
10001,2022,95626.32
10003,2022,385970.85
10005,2022,170484.98
11001,2022,677761.48
12001,2022,148905.71
12003,2022,12431.4
12005,2022,99509.85
12007,2022,11336.39
12009,2022,356663.27
12011,2022,1290289.98
12013,2022,4856.17
12015,2022,104993.12
12017,2022,72968.11
12019,2022,122134.4
12021,2022,497883.62
12023,2022,31147.84
12027,2022,11771.61
12029,2022,5764.08
12031,2022,575441.54
12033,2022,171351.52
12035,2022,75027.85
12037,2022,5431.62
12039,2022,19420.02
12041,2022,8063.21
