Electric Company ID,Electric Utility
uc001,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
uc002,PUGET SOUND ENERGY INC
uc003,PACIFICORP
uc004,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
uc005,PUD NO 2 OF GRANT COUNTY
uc006,MODERN ELECTRIC WATER COMPANY
uc007,PUD NO 1 OF CHELAN COUNTY
uc008,CITY OF CHENEY - (WA)
uc009,AVISTA CORP
uc010,NO KNOWN ELECTRIC UTILITY SERVICE
uc011,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
uc012,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
uc013,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
uc014,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
uc015,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA)
uc016,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY
uc017,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN
uc018,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA)
uc019,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
uc020,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF MASON COUNTY|PUD NO 1 OF JEFFERSON COUNTY
uc021,BONNEVILLE POWER ADMINISTRATION||CITY OF MILTON - (WA)|CITY OF TACOMA - (WA)
uc022,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
uc023,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
uc024,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)
uc025,PUD NO 1 OF DOUGLAS COUNTY
uc026,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
uc027,CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP
uc028,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
uc029,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY
uc030,CITY OF CHEWELAH
uc031,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY
uc032,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
uc033,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||BENTON RURAL ELECTRIC ASSN|PENINSULA LIGHT COMPANY
uc034,BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA)
uc035,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO
uc036,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY
uc037,PUD NO 1 OF WHATCOM COUNTY
uc038,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY
uc039,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY
uc040,BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY
uc041,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF WAHKIAKUM COUNTY
uc042,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15
