FIPS code,Income Year,PerCapita Income,County,State
01001,2022,29749.89,Autauga,AL
01003,2022,142052.69,Baldwin,AL
01005,2022,10134.59,Barbour,AL
01007,2022,8397.82,Bibb,AL
01009,2022,26224.26,Blount,AL
01011,2022,3390.75,Bullock,AL
01013,2022,8867.59,Butler,AL
01015,2022,49400.57,Calhoun,AL
01017,2022,13476.61,Chambers,AL
01019,2022,11297.95,Cherokee,AL
01021,2022,19922.86,Chilton,AL
01023,2022,5858.09,Choctaw,AL
01025,2022,10110.51,Clarke,AL
01027,2022,5595.98,Clay,AL
01029,2022,6802.33,Cleburne,AL
01031,2022,28394.08,Coffee,AL
01033,2022,25980.91,Colbert,AL
01035,2022,4645.65,Conecuh,AL
01037,2022,3992.84,Coosa,AL
01039,2022,15890.79,Covington,AL
01041,2022,6343.61,Crenshaw,AL
01043,2022,45111.92,Cullman,AL
01045,2022,22209.06,Dale,AL
01047,2022,15571.03,Dallas,AL
01049,2022,30341.83,DeKalb,AL
01051,2022,43608.92,Elmore,AL
01053,2022,14805.06,Escambia,AL
01055,2022,44450.35,Etowah,AL
01057,2022,6877.43,Fayette,AL
01059,2022,13598.84,Franklin,AL
01061,2022,11368.68,Geneva,AL
01063,2022,2850.13,Greene,AL
01065,2022,6486.78,Hale,AL
01067,2022,9365.66,Henry,AL
01069,2022,56159.48,Houston,AL
01071,2022,23351.47,Jackson,AL
01073,2022,448475.95,Jefferson,AL
01075,2022,5451.41,Lamar,AL
01077,2022,43104.78,Lauderdale,AL
01079,2022,14566.21,Lawrence,AL
01081,2022,83373.16,Lee,AL
01083,2022,59829.42,Limestone,AL
01085,2022,4955.74,Lowndes,AL
01087,2022,7213.7,Macon,AL
01089,2022,252387.63,Madison,AL
01091,2022,8963.44,Marengo,AL
01093,2022,12673.21,Marion,AL
01095,2022,46872.26,Marshall,AL
01097,2022,199195.98,Mobile,AL
01099,2022,8228.84,Monroe,AL
01101,2022,114908.97,Montgomery,AL
01103,2022,59070.26,Morgan,AL
01105,2022,3173.37,Perry,AL
01107,2022,7794.0,Pickens,AL
01109,2022,15843.76,Pike,AL
01111,2022,9535.76,Randolph,AL
01113,2022,22916.98,Russell,AL
01115,2022,45265.02,St. Clair,AL
01117,2022,154936.18,Shelby,AL
01119,2022,4610.15,Sumter,AL
01121,2022,33474.33,Talladega,AL
01123,2022,20066.31,Tallapoosa,AL
01125,2022,99850.64,Tuscaloosa,AL
01127,2022,31751.2,Walker,AL
01129,2022,6868.01,Washington,AL
01131,2022,3934.37,Wilcox,AL
01133,2022,10377.95,Winston,AL
02010,2022,0.0,Aleutian Islands Census Area,AK
02013,2022,2177.97,Aleutians East Borough,AK
02016,2022,3501.85,Aleutians West Census Area,AK
02020,2022,218713.79,Anchorage Municipality,AK
02050,2022,9011.03,Bethel Census Area,AK
02060,2022,1377.29,Bristol Bay Borough,AK
02063,2022,4832.81,Chugach Census Area,AK
02066,2022,1495.52,Copper River Census Area,AK
02068,2022,1895.16,Denali Borough,AK
02070,2022,2865.3,Dillingham Census Area,AK
02090,2022,64641.26,Fairbanks North Star Borough,AK
02100,2022,1758.01,Haines Borough,AK
02105,2022,1554.05,Hoonah-Angoon Census Area,AK
02110,2022,24993.02,Juneau City and Borough,AK
02122,2022,36627.19,Kenai Peninsula Borough,AK
02130,2022,10086.68,Ketchikan Gateway Borough,AK
02150,2022,9077.4,Kodiak Island Borough,AK
02158,2022,3090.37,Kusilvak Census Area,AK
02164,2022,945.48,Lake and Peninsula Borough,AK
02170,2022,66274.46,Matanuska-Susitna Borough,AK
02180,2022,6254.05,Nome Census Area,AK
02185,2022,8332.49,North Slope Borough,AK
02188,2022,4152.39,Northwest Arctic Borough,AK
02195,2022,2519.77,Petersburg Borough,AK
02198,2022,3036.87,Prince of Wales-Hyder Census Area,AK
02201,2022,0.0,Prince of Wales-Outer Ketchikan Census Area,AK
02220,2022,6677.4,Sitka City and Borough,AK
02230,2022,820.95,Skagway Municipality,AK
02231,2022,0.0,Skagway-Yakutat-Angoon Census Area,AK
02232,2022,0.0,Skagway-Hoonah-Angoon Census Area,AK
02240,2022,4257.81,Southeast Fairbanks Census Area,AK
02261,2022,0.0,Valdez-Cordova Census Area,AK
02275,2022,1268.26,Wrangell City and Borough,AK
02280,2022,0.0,Wrangell-Petersburg Census Area,AK
02282,2022,432.96,Yakutat City and Borough,AK
02290,2022,3395.92,Yukon-Koyukuk Census Area,AK
02901,2022,0.0,Aleutian Islands Division,AK
02903,2022,0.0,Angoon Division,AK
02904,2022,0.0,Barrow-North Slope Division,AK
02905,2022,0.0,Bethel Division,AK
02907,2022,0.0,Bristol Bay Division,AK
02908,2022,0.0,Cordova-McCarthy Division,AK
02910,2022,0.0,Haines Division,AK
02912,2022,0.0,Kenai-Cook Inlet Division,AK
02916,2022,0.0,Kuskokwim Division,AK
02919,2022,0.0,Outer Ketchikan Division,AK
02920,2022,0.0,Prince of Wales Division,AK
02921,2022,0.0,Seward Division,AK
02922,2022,0.0,Sitka Division,AK
02923,2022,0.0,Skagway-Yakutat Division,AK
02924,2022,0.0,Southeast Fairbanks Division,AK
02925,2022,0.0,Upper Yukon Division,AK
02926,2022,0.0,Valdez-Chitina-Whittier Division,AK
02928,2022,0.0,Wrangell-Petersburg Division,AK
02929,2022,0.0,Yukon-Koyukuk Division,AK
04001,2022,30276.71,Apache,AZ
04003,2022,63408.6,Cochise,AZ
04005,2022,84221.16,Coconino,AZ
04007,2022,27097.78,Gila,AZ
04009,2022,16147.28,Graham,AZ
04011,2022,5041.46,Greenlee,AZ
04012,2022,9375.08,La Paz,AZ
04013,2022,2922816.68,Maricopa,AZ
04015,2022,96441.56,Mohave,AZ
04017,2022,46702.68,Navajo,AZ
04019,2022,579241.91,Pima,AZ
04021,2022,217991.22,Pinal,AZ
04023,2022,22729.81,Santa Cruz,AZ
04025,2022,127845.1,Yavapai,AZ
04027,2022,94051.59,Yuma,AZ
05001,2022,9832.91,Arkansas,AR
05003,2022,8404.79,Ashley,AR
05005,2022,19087.7,Baxter,AR
05007,2022,353809.68,Benton,AR
05009,2022,16678.91,Boone,AR
05011,2022,4931.28,Bradley,AR
05013,2022,2188.69,Calhoun,AR
05015,2022,12249.4,Carroll,AR
05017,2022,4703.88,Chicot,AR
05019,2022,9074.69,Clark,AR
05021,2022,6419.47,Clay,AR
05023,2022,12330.87,Cleburne,AR
05025,2022,3971.11,Cleveland,AR
05027,2022,10233.45,Columbia,AR
05029,2022,10432.14,Conway,AR
05031,2022,53822.09,Craighead,AR
05033,2022,25892.4,Crawford,AR
05035,2022,21740.91,Crittenden,AR
05037,2022,7184.88,Cross,AR
05039,2022,2946.63,Dallas,AR
05041,2022,5355.39,Desha,AR
05043,2022,8036.7,Drew,AR
05045,2022,62070.74,Faulkner,AR
05047,2022,7519.39,Franklin,AR
05049,2022,4354.58,Fulton,AR
05051,2022,49631.72,Garland,AR
05053,2022,8682.94,Grant,AR
05055,2022,19569.18,Greene,AR
05057,2022,8588.56,Hempstead,AR
05059,2022,12784.39,Hot Spring,AR
05061,2022,6166.79,Howard,AR
05063,2022,17526.3,Independence,AR
05065,2022,5057.91,Izard,AR
05067,2022,7822.39,Jackson,AR
05069,2022,26977.69,Jefferson,AR
05071,2022,9420.77,Johnson,AR
05073,2022,3124.6,Lafayette,AR
05075,2022,7026.63,Lawrence,AR
05077,2022,3174.54,Lee,AR
05079,2022,4413.28,Lincoln,AR
05081,2022,5003.88,Little River,AR
05083,2022,8868.77,Logan,AR
05085,2022,37139.98,Lonoke,AR
05087,2022,8040.03,Madison,AR
05089,2022,6521.05,Marion,AR
05091,2022,17345.58,Miller,AR
05093,2022,17556.28,Mississippi,AR
05095,2022,2808.86,Monroe,AR
05097,2022,3353.91,Montgomery,AR
05099,2022,3366.08,Nevada,AR
05101,2022,2747.5,Newton,AR
05103,2022,10746.97,Ouachita,AR
05105,2022,4702.32,Perry,AR
05107,2022,6996.51,Phillips,AR
05109,2022,4376.24,Pike,AR
05111,2022,10064.9,Poinsett,AR
05113,2022,7921.2,Polk,AR
05115,2022,27283.73,Pope,AR
05117,2022,3650.79,Prairie,AR
05119,2022,248592.6,Pulaski,AR
05121,2022,7790.2,Randolph,AR
05123,2022,8204.55,St. Francis,AR
05125,2022,66184.86,Saline,AR
05127,2022,4030.4,Scott,AR
05129,2022,2679.35,Searcy,AR
05131,2022,62732.25,Sebastian,AR
05133,2022,7202.72,Sevier,AR
05135,2022,7894.1,Sharp,AR
05137,2022,4753.51,Stone,AR
05139,2022,20327.85,Union,AR
05141,2022,6380.5,Van Buren,AR
05143,2022,129938.9,Washington,AR
05145,2022,34573.5,White,AR
05147,2022,3126.67,Woodruff,AR
05149,2022,9200.59,Yell,AR
06001,2022,1641874.33,Alameda,CA
06003,2022,804.47,Alpine,CA
06005,2022,19830.23,Amador,CA
06007,2022,111899.69,Butte,CA
06009,2022,25876.89,Calaveras,CA
06011,2022,12175.26,Colusa,CA
06013,2022,1123011.77,Contra Costa,CA
06015,2022,11880.45,Del Norte,CA
06017,2022,153394.13,El Dorado,CA
06019,2022,512150.12,Fresno,CA
06021,2022,14495.42,Glenn,CA
06023,2022,72248.68,Humboldt,CA
06025,2022,81636.3,Imperial,CA
06027,2022,11118.4,Inyo,CA
06029,2022,408822.42,Kern,CA
06031,2022,65118.33,Kings,CA
06033,2022,30952.24,Lake,CA
06035,2022,12334.23,Lassen,CA
06037,2022,7229357.67,Los Angeles,CA
06039,2022,72438.63,Madera,CA
06041,2022,432422.99,Marin,CA
06043,2022,10392.59,Mariposa,CA
06045,2022,49597.78,Mendocino,CA
06047,2022,133258.02,Merced,CA
06049,2022,4989.36,Modoc,CA
06051,2022,8571.1,Mono,CA
06053,2022,282807.05,Monterey,CA
06055,2022,119883.57,Napa,CA
06057,2022,72822.15,Nevada,CA
06059,2022,2649731.16,Orange,CA
06061,2022,334678.21,Placer,CA
06063,2022,11627.88,Plumas,CA
06065,2022,1261747.31,Riverside,CA
06067,2022,981758.17,Sacramento,CA
06069,2022,42124.5,San Benito,CA
06071,2022,1068537.56,San Bernardino,CA
06073,2022,2440704.77,San Diego,CA
06075,2022,1253587.65,San Francisco,CA
06077,2022,447684.56,San Joaquin,CA
06079,2022,192816.77,San Luis Obispo,CA
06081,2022,1187158.07,San Mateo,CA
06083,2022,343673.16,Santa Barbara,CA
06085,2022,2680526.14,Santa Clara,CA
